2012-01-02	1
2012-02-20	1
2012-02-21	1
2012-02-22	1
2012-02-23	1
2012-02-24	1
2012-04-27	1
2012-04-28	1
2012-04-29	1
2012-04-30	1
2012-05-01	1
2012-05-02	1
2012-06-24	1
2012-06-25	1
2012-06-26	1
2012-06-27	1
2012-06-28	1
2012-06-29	1
2012-06-30	1
2012-07-01	1
2012-07-02	1
2012-07-03	1
2012-07-04	1
2012-07-05	1
2012-07-06	1
2012-07-07	1
2012-07-08	1
2012-07-09	1
2012-07-10	1
2012-07-11	1
2012-07-12	1
2012-07-13	1
2012-07-14	1
2012-07-15	1
2012-07-16	1
2012-07-17	1
2012-07-18	1
2012-07-19	1
2012-07-20	1
2012-07-21	1
2012-07-22	1
2012-07-23	1
2012-07-24	1
2012-07-25	1
2012-07-26	1
2012-07-27	1
2012-07-28	1
2012-07-29	1
2012-07-30	1
2012-07-31	1
2012-08-01	1
2012-08-02	1
2012-08-03	1
2012-08-04	1
2012-08-05	1
2012-08-06	1
2012-08-07	1
2012-08-08	1
2012-08-09	1
2012-08-10	1
2012-08-11	1
2012-08-12	1
2012-08-13	1
2012-08-14	1
2012-08-15	1
2012-08-16	1
2012-08-17	1
2012-08-18	1
2012-08-19	1
2012-08-20	1
2012-08-21	1
2012-08-22	1
2012-08-23	1
2012-08-24	1
2012-08-25	1
2012-08-26	1
2012-08-27	1
2012-08-28	1
2012-08-29	1
2012-08-30	1
2012-08-31	1
2012-09-01	1
2012-12-25	1
2012-12-26	1
2012-12-27	1
2012-12-28	1
2012-12-29	1
2012-12-30	1
2012-12-31	1
