min1800	t2m	rh	padavine	veter_hitrost
111879360	10.7	92	0.3	1.6
111879390	10.5	91	0	1.5
111879420	10.4	92	0	2.1
111879450	10.4	90	0	1.4
111879480	10.3	90	0	1.3
111879510	10.2	89	0	1.4
111879540	10.1	89	0	1.3
111879570	10	89	0	0.6
111879600	9.9	90	0	1
111879630	9.8	90	0	1.1
111879660	9.8	90	0	0.6
111879690	9.8	90	0	0.6
111879720	9.5	90	0	0.7
111879750	9.2	91	0	0.3
111879780	9.2	92	0	0.4
111879810	10.5	86	0	0.5
111879840	11.8	79	0	0.7
111879870	12	79	0	0.7
111879900	12.5	77	0	0.6
111879930	13.5	70	0	1.5
111879960	14.1	68	0	1.4
111879990	14.8	63	0	1.4
111880020	15.7	57	0	1.3
111880050	16.2	46	0	1.3
111880080	16.7	44	0	1.6
111880110	17	39	0	1.5
111880140	17.4	38	0	1.7
111880170	17.6	38	0	1.5
111880200	17	38	0	1.4
111880230	17.1	38	0	1.5
111880260	16.9	38	0	1
111880290	17.7	35	0	1.1
111880320	18.1	34	0	1.4
111880350	17.9	37	0	1.9
111880380	17.4	37	0	1.7
111880410	16.5	42	0	1.5
111880440	15.5	46	0	1.2
111880470	14.2	52	0	1.1
111880500	13.2	57	0	0.7
111880530	12.1	63	0	0.3
111880560	11.6	70	0	0.9
111880590	10.9	75	0	0.3
111880620	10.1	79	0	0.6
111880650	9.8	82	0	0.7
111880680	9.3	84	0	0.8
111880710	8.9	85	0	0.3
111880740	8.4	88	0	0.4
111880770	8.3	89	0	0.9
