min1800	t2m	rh	padavine	veter_hitrost
111647520	7.2	91	0	1.5
111647550	7.2	91	0	0.9
111647580	7.1	91	0	0.8
111647610	6.5	92	0	0.9
111647640	6.2	94	0	0.3
111647670	6.7	95	0	0.9
111647700	6.9	94	0	0.3
111647730	7	94	0	0.6
111647760	7	93	0	0.6
111647790	7.1	93	0	0.5
111647820	7.1	93	0	0.6
111647850	6.8	94	0	0.5
111647880	6.4	94	0	0.8
111647910	6.4	94	0	0.7
111647940	7	93	0	0.9
111647970	8	88	0	0.6
111648000	8.6	84	0	0.7
111648030	8.8	85	0	2.2
111648060	9.3	83	0	1.4
111648090	10.1	79	0	0.9
111648120	11.5	70	0	1.2
111648150	12.3	59	0	2.4
111648180	13.5	53	0	3.6
111648210	14.6	49	0	4.2
111648240	15	48	0	3.8
111648270	14.9	47	0	4.7
111648300	13.9	53	0	4.8
111648330	12.6	63	0	3.4
111648360	14.4	54	0	4.6
111648390	15.3	49	0	5.7
111648420	15.6	46	0	5.3
111648450	15.7	44	0	5.7
111648480	15.5	41	0	6.4
111648510	15.4	41	0	7
111648540	15.1	39	0	5.9
111648570	14.8	40	0	5.7
111648600	13.9	43	0	5.6
111648630	13.2	48	0	4.5
111648660	12.5	48	0	3.4
111648690	12	46	0	2.7
111648720	11.6	45	0	2.4
111648750	10.9	47	0	1.8
111648780	10.4	50	0	1.9
111648810	10.2	52	0	2.9
111648840	9.9	57	0	2.8
111648870	9.4	65	0	2.5
111648900	8.9	67	0	1.5
111648930	8	68	0	0.6
