min1800	t2m	rh	padavine	veter_hitrost
111515040	-0.3	78	0	0.8
111515070	-0.6	79	0	0.5
111515100	-0.9	79	0	0.4
111515130	-1.2	80	0	0.6
111515160	-1.3	82	0	0.5
111515190	-1.5	82	0	0.4
111515220	-1.7	82	0	0.4
111515250	-1.9	83	0	0.1
111515280	-2.1	84	0	0.3
111515310	-2.1	85	0	0.5
111515340	-2.2	85	0	0.3
111515370	-2.1	86	0	0.3
111515400	-2.1	86	0	0.5
111515430	-2.1	87	0	0.5
111515460	-2.3	87	0	0.3
111515490	-2.3	87	0	0.6
111515520	-2.3	87	0	0.4
111515550	-2.1	87	0	0.3
111515580	-1.8	86	0	0.3
111515610	-0.9	83	0	0.6
111515640	0.3	76	0	0.5
111515670	1.8	70	0	0.7
111515700	2.7	67	0	0.9
111515730	3.1	65	0	1.6
111515760	3.3	64	0	1.6
111515790	4.1	60	0	1
111515820	5.2	55	0	0.8
111515850	5.9	51	0	0.5
111515880	6.3	49	0	0.5
111515910	6.6	48	0	0.7
111515940	6.6	47	0	0.8
111515970	7	47	0	0.8
111516000	6.9	47	0	0.3
111516030	5.8	52	0	0.2
111516060	4.7	57	0	0.4
111516090	3.9	61	0	0.6
111516120	3.2	64	0	0.5
111516150	2.6	67	0	0.5
111516180	2.3	68	0	0.5
111516210	1.7	72	0	0.2
111516240	1.2	76	0	0.3
111516270	1	78	0	0.6
111516300	0.9	78	0	0.6
111516330	0.9	77	0	0.6
111516360	0.7	79	0	0.6
111516390	0.3	80	0	0.4
111516420	-0.1	82	0	0.7
111516450	-0.4	84	0	0.6
