min1800	t2m	rh	padavine	veter_hitrost
111970080	8.7	87	0	0.4
111970110	8.6	88	0	0.2
111970140	8.6	88	0	0.3
111970170	8.6	88	0	0.4
111970200	8.5	88	0	0.6
111970230	8.5	88	0	0.5
111970260	8.5	89	0	0.7
111970290	8.5	89	0	0.2
111970320	8.5	89	0	0.4
111970350	8.5	89	0	0.3
111970380	8.4	90	0	0.3
111970410	8.5	89	0	0.5
111970440	8.5	90	0	0.5
111970470	8.4	90	0	0.3
111970500	8.5	90	0	0.6
111970530	8.5	90	0	0.3
111970560	8.6	90	0	0.4
111970590	8.8	90	0	0.7
111970620	8.9	88	0	1
111970650	9.1	87	0	1.4
111970680	9.4	86	0	1.3
111970710	9.6	85	0	1
111970740	10.1	83	0	1
111970770	10.4	80	0	1
111970800	10.6	79	0	0.5
111970830	11	77	0	0.7
111970860	11	75	0	1.1
111970890	11	76	0	1.5
111970920	10.9	76	0	1.2
111970950	10.8	76	0	1.1
111970980	10.7	77	0	1.5
111971010	10.5	79	0	1.3
111971040	10.4	80	0	1.1
111971070	10.2	81	0	1.1
111971100	10.2	80	0	0.9
111971130	10.1	81	0	0.6
111971160	10.1	81	0.1	0.3
111971190	9.8	85	0.5	0.5
111971220	9.6	88	0.1	0.6
111971250	9.5	90	0	0.6
111971280	9.4	89	0	0.5
111971310	9.4	90	0.2	1
111971340	9.2	92	0.4	1
111971370	9	93	0.3	0.9
111971400	9	94	0.1	0.9
111971430	8.9	94	0.2	0.8
111971460	8.9	94	0.1	0.5
111971490	8.9	94	0	0.3
