min1800	t2m	rh	padavine	veter_hitrost
111984480	3.1	72	0	0.6
111984510	3.1	72	0	0.8
111984540	3.1	73	0	0.7
111984570	3	79	0	1.3
111984600	2.9	79	0	0.3
111984630	2.9	80	0	0.8
111984660	2.8	80	0	1.2
111984690	2.7	79	0	0.3
111984720	2.7	80	0	0.5
111984750	2.6	80	0	0.4
111984780	2.6	83	0	1.2
111984810	2.5	85	0	0.6
111984840	2.5	82	0	0.5
111984870	2.5	80	0	0.6
111984900	2.5	82	0	0.8
111984930	2.5	81	0	0.7
111984960	2.3	83	0	0.7
111984990	2.1	88	0	1.2
111985020	1.9	90	0	1.2
111985050	1.9	91	0.1	1.1
111985080	2	92	0	1.1
111985110	2.1	92	0.1	1.4
111985140	2.2	92	0	1.5
111985170	2.2	92	0.3	2
111985200	2.3	93	0.1	1.8
111985230	2.4	92	0.1	1.2
111985260	2.1	91	0.5	0.9
111985290	1.3	92	1.6	0.9
111985320	1	94	0.4	0.7
111985350	0.9	95	0.7	0.8
111985380	0.9	95	1	0.4
111985410	0.9	95	0.4	0.4
111985440	0.9	95	0.5	0.3
111985470	0.8	96	0.7	0.3
111985500	0.8	96	1.1	0.2
111985530	0.7	96	0.5	0.6
111985560	0.7	96	0.2	0.5
111985590	0.8	96	0.1	0.2
111985620	0.9	96	0	0.9
111985650	1	96	0	0.6
111985680	1.1	96	0	1.9
111985710	1.3	94	0.1	1.7
111985740	1.3	93	0.1	1.6
111985770	1.2	93	0.2	0.9
111985800	1.2	93	0	1.3
111985830	1.2	93	0	1.5
111985860	1.2	93	0.1	0.7
111985890	1.2	92	0	0.9
