min1800	t2m	rh	padavine	veter_hitrost
111696480	10.6	76	0	0.5
111696510	10.2	78	0	0
111696540	9.8	80	0	0
111696570	9.6	81	0	0
111696600	9.9	80	0	0.8
111696630	9.8	80	0	1.2
111696660	9.7	80	0	0.9
111696690	9.7	80	0	0.8
111696720	9.7	81	0	0.3
111696750	10	75	0.1	1.9
111696780	9.6	69	0.4	3
111696810	8.5	78	0.8	2
111696840	8.1	83	0.3	1.6
111696870	7.7	85	0.7	1.3
111696900	7.7	87	0.3	1.9
111696930	7.7	83	0.1	0.2
111696960	7.9	82	0.4	0.5
111696990	7.9	82	0.5	0.9
111697020	8	82	0.7	0.2
111697050	8.2	81	0.7	0.5
111697080	8.2	86	0.8	1.4
111697110	8	82	0.6	1.5
111697140	7.8	79	0.5	1.1
111697170	7.4	80	1	1.8
111697200	7.1	81	1.3	1.1
111697230	7.2	81	0.9	1
111697260	7.2	82	0.4	0.9
111697290	7.4	77	0.5	0.6
111697320	7.6	78	0.2	0.1
111697350	7.6	83	0.2	1.4
111697380	7.4	86	0.2	1.2
111697410	7.7	84	0	0.4
111697440	7.9	83	0	1.4
111697470	8	83	0	0.9
111697500	7.9	81	0	1.7
111697530	7.6	81	0	2
111697560	7.7	81	0	2
111697590	7.7	80	0	1.8
111697620	7.6	81	0	1.9
111697650	7.6	81	0	0.8
111697680	7.6	82	0	0.9
111697710	7.6	83	0	1.3
111697740	7.5	83	0	0.9
111697770	7.4	84	0	2.4
111697800	7.3	86	0	2.7
111697830	7.1	87	0	3.1
111697860	7	87	0	2.8
111697890	7	86	0	2.7
