min1800	t2m	rh	padavine	veter_hitrost
111869280	10.9	92	4.1	6.2
111869310	10.2	92	7.9	6
111869340	9.9	92	4	3.3
111869370	9.7	92	1.7	2.8
111869400	9.4	92	1.1	3.4
111869430	9.3	90	0.3	3.5
111869460	9.1	90	0.7	1.6
111869490	9	91	0.7	2
111869520	8.9	91	1.1	2.1
111869550	8.8	93	0.4	1.1
111869580	8.9	94	0.7	0.6
111869610	9	93	0.2	0.3
111869640	9.2	94	0.5	0.9
111869670	9.2	95	0.8	0.7
111869700	9.3	94	0.2	0.9
111869730	9.3	93	0.2	1.8
111869760	9.3	93	0.7	0.9
111869790	9.4	93	0.7	1.4
111869820	9.4	92	0.5	1
111869850	9.5	92	0.7	1.6
111869880	9.5	93	0.6	1.2
111869910	9.8	92	0.5	0.9
111869940	9.9	91	0.2	1.4
111869970	9.9	92	0.3	1.8
111870000	10	93	0.3	1.8
111870030	9.9	92	0.6	1.8
111870060	9.9	92	1.1	1.4
111870090	9.9	91	0.9	1
111870120	10	92	1	0.9
111870150	10.2	91	0.6	1.2
111870180	10.6	91	0.2	1.7
111870210	10.9	89	0	1.6
111870240	10.7	89	0	1.7
111870270	10.6	90	0	1.7
111870300	10.7	90	0	1.4
111870330	10.7	88	0	1.1
111870360	10.6	88	0	0.9
111870390	10.6	88	0	1.4
111870420	10.5	89	0	1.4
111870450	10.4	89	0	1.4
111870480	10.4	89	0	1.1
111870510	10.3	88	0	1.9
111870540	10.3	88	0	1.6
111870570	10.2	89	0	0.5
111870600	10.3	88	0	1.2
111870630	10.3	89	0	1.7
111870660	10.2	90	0	1.6
111870690	10.3	89	0	1.6
