min1800	t2m	rh	padavine	veter_hitrost
111679200	15.1	54	0	2.9
111679230	14.4	57	0	0.5
111679260	14.2	57	0	0.3
111679290	13.8	60	0	1
111679320	13.9	59	0	1
111679350	13.4	61	0	1.5
111679380	12.8	64	0	0.5
111679410	12.2	71	0	0.8
111679440	11.5	76	0	0.1
111679470	11.5	76	0	0
111679500	11.6	72	0	0.2
111679530	11.5	72	0	0.2
111679560	11.5	75	0	0.2
111679590	11.8	75	0	0.3
111679620	12.1	74	0	0.3
111679650	13.1	72	0	0.3
111679680	14.2	68	0	0.4
111679710	15.5	64	0	0.9
111679740	16.5	61	0	0.9
111679770	17.7	56	0	0.7
111679800	18.7	50	0	0.5
111679830	19.9	46	0	1.2
111679860	20.8	44	0	1.5
111679890	21.6	38	0	2.2
111679920	22.5	38	0	3.2
111679950	22.7	35	0	2.7
111679980	23.1	34	0	2.7
111680010	23.3	33	0	2.9
111680040	23.5	32	0	3.8
111680070	23.5	33	0	3.9
111680100	23.6	34	0	4.4
111680130	23.6	35	0	4.4
111680160	23.2	36	0	4.7
111680190	21.8	42	0	2.8
111680220	21.1	46	0	1.6
111680250	20.6	44	0	2.9
111680280	20.4	44	0	4.2
111680310	19.2	47	0	3.7
111680340	18.5	48	0	3.8
111680370	17.9	50	0	2.6
111680400	17.3	54	0	1.8
111680430	16.7	57	0	1.4
111680460	16.3	59	0	2.4
111680490	16.2	60	0	2.2
111680520	15.9	61	0	1.9
111680550	15.4	62	0	2.2
111680580	14.8	64	0	2.5
111680610	14.7	64	0	1.4
