min1800	t2m	rh	padavine	veter_hitrost
111960000	6.9	61	0	1.4
111960030	6.7	61	0	1.6
111960060	6.5	61	0	1.5
111960090	6.4	61	0	1.3
111960120	6.2	64	0	1.2
111960150	6	64	0	0.9
111960180	6	64	0	1.1
111960210	5.8	67	0	1.2
111960240	5.6	69	0	2.1
111960270	5.7	70	0	1.7
111960300	5.5	70	0	2
111960330	5.4	72	0	1.1
111960360	5.1	76	0	0.9
111960390	5.2	75	0	0.6
111960420	5.4	73	0	1
111960450	5.6	72	0	1.1
111960480	5.8	70	0	1.3
111960510	6	70	0	1.4
111960540	6.2	68	0	0.9
111960570	6.3	68	0	0.8
111960600	6.5	68	0	0.7
111960630	6.6	69	0	1.1
111960660	6.8	67	0	1.7
111960690	7.1	66	0	0.9
111960720	7.4	64	0	0.5
111960750	7.7	68	0	1.6
111960780	7.9	69	0	1.3
111960810	8	68	0	1.1
111960840	8.2	67	0	0.7
111960870	8.4	66	0	0.5
111960900	8.5	65	0	0.6
111960930	8.5	66	0	0.7
111960960	8.4	66	0	1
111960990	8.4	67	0	0.8
111961020	8.4	66	0	1.4
111961050	8.4	66	0	1.2
111961080	8.2	68	0	1.1
111961110	8.1	69	0	1.2
111961140	8	70	0	0.9
111961170	7.9	71	0	0.9
111961200	7.9	71	0	0.9
111961230	7.9	71	0	0.8
111961260	7.8	72	0	0.6
111961290	7.8	71	0	1
111961320	7.7	70	0	1.3
111961350	7.7	70	0	1.4
111961380	7.7	69	0	1.5
111961410	7.6	71	0	1.8
