min1800	t2m	rh	padavine	veter_hitrost
111998880	-7.9	89	0	0.5
111998910	-7.8	89	0	0.6
111998940	-8.2	88	0	0.6
111998970	-8.5	89	0	0.9
111999000	-8.5	89	0	0.4
111999030	-8.6	88	0	0.5
111999060	-8.8	87	0	0.3
111999090	-8.8	87	0	0.4
111999120	-9.2	86	0	0.4
111999150	-9.3	86	0	0.5
111999180	-8.9	87	0	0.8
111999210	-8.7	88	0	0.7
111999240	-8.9	87	0	0.9
111999270	-8.9	87	0	0.7
111999300	-8.8	87	0	0.7
111999330	-8.6	87	0	0.4
111999360	-8.1	88	0	0.6
111999390	-8.5	86	0	0.9
111999420	-8.7	85	0	0.8
111999450	-8.1	86	0	0.9
111999480	-7.7	86	0	1.1
111999510	-7.3	87	0	0.7
111999540	-6.9	86	0	0.6
111999570	-6	87	0	0.5
111999600	-5.4	85	0	0.9
111999630	-5	82	0	0.9
111999660	-4.2	81	0	0.7
111999690	-4	80	0	1.3
111999720	-4	81	0	1.4
111999750	-4.1	81	0	1.5
111999780	-4.2	82	0	1.1
111999810	-4.3	82	0	1.3
111999840	-4.7	85	0	1.1
111999870	-4.8	86	0	0.8
111999900	-4.9	87	0	0.9
111999930	-5	87	0	1.4
111999960	-5.2	88	0	0.9
111999990	-5.2	89	0	0.4
112000020	-5.2	89	0	0.6
112000050	-5.2	88	0	0.5
112000080	-5.2	88	0	1.1
112000110	-5.4	90	0	1.2
112000140	-5.5	90	0	1.1
112000170	-5.5	90	0	1.4
112000200	-5.8	91	0	1.3
112000230	-5.9	91	0	1.6
112000260	-6.2	91	0	1.2
112000290	-6.3	91	0	1.2
