min1800	t2m	rh	padavine	veter_hitrost
111735360	15.2	96	0	0.5
111735390	15	96	0	1
111735420	14.8	97	0	0.7
111735450	14.8	98	0	0.3
111735480	14.6	98	0	1.5
111735510	14.2	98	0	1.1
111735540	14.1	98	0	0.6
111735570	14	98	0	0.3
111735600	14	98	0	0.1
111735630	14.1	98	0	0.2
111735660	14.1	98	0	0.3
111735690	14.1	98	0	0.4
111735720	14.2	98	0	0.3
111735750	14.3	98	0	0.9
111735780	14.2	97	0	0.7
111735810	14.3	97	0	1.2
111735840	14.3	97	0	1.1
111735870	14.7	96	0	1.4
111735900	15.3	93	0	1
111735930	15.9	90	0	0.9
111735960	15.7	91	2.5	2
111735990	15.5	94	1.4	1.1
111736020	16	92	0.1	1.8
111736050	15.7	91	2.1	1.5
111736080	15.2	91	3.3	1.4
111736110	15	90	1.8	1.7
111736140	15.3	89	0.1	1.8
111736170	15.9	86	0	1.9
111736200	15.7	87	5	0.9
111736230	16.2	89	3	1.4
111736260	17.3	83	0	1.6
111736290	17.4	82	0	2
111736320	18	80	0	2.7
111736350	17.8	78	0	2.9
111736380	14.9	83	4.1	3.2
111736410	13.5	90	4	1.5
111736440	13.8	93	1.5	0.9
111736470	14	92	0.2	1.1
111736500	13.6	92	0	0.3
111736530	13.4	93	0	0.6
111736560	13	94	0	0.1
111736590	12.9	96	0	0.7
111736620	12.6	96	0	0.3
111736650	12.5	96	0	0.6
111736680	12.7	97	2.2	1.4
111736710	13.1	97	2.2	0.7
111736740	13.2	96	0.9	0.8
111736770	13	96	1.1	1.6
