min1800	t2m	rh	padavine	veter_hitrost
111882240	10.7	82	0	0.6
111882270	10	86	0	0.8
111882300	9.7	88	0	0.5
111882330	9.4	89	0	0.7
111882360	9.3	90	0	0.8
111882390	9.2	90	0	0.7
111882420	9.3	89	0	0.8
111882450	9	90	0	1.1
111882480	8.6	91	0	0.8
111882510	8.3	92	0	0.3
111882540	7.9	93	0	0.5
111882570	7.8	93	0	0.7
111882600	7.7	93	0	0.4
111882630	7.7	93	0	0.2
111882660	8.2	93	0	0.5
111882690	11	87	0	1.6
111882720	14.2	75	0	2.2
111882750	15.5	69	0	3.7
111882780	16.4	66	0	3.9
111882810	17.5	62	0	4.2
111882840	18.2	60	0	4
111882870	18.7	57	0	3.5
111882900	18.7	57	0	4.9
111882930	19	56	0	3.9
111882960	19.1	55	0	5.3
111882990	19.6	54	0	4.8
111883020	19.5	53	0	3.5
111883050	19.7	52	0	3.2
111883080	20.6	50	0	3.2
111883110	20.6	48	0	3.8
111883140	20.9	49	0	3.2
111883170	20.8	50	0	4.7
111883200	20.1	51	0	3.4
111883230	20.1	51	0	2.5
111883260	19.4	53	0	2.6
111883290	18.8	56	0	2.5
111883320	18	59	0	2
111883350	17.2	62	0	1.9
111883380	16.5	64	0	1.8
111883410	15.9	66	0	1.3
111883440	15.1	70	0	1.1
111883470	14.5	75	0	0.7
111883500	14	76	0	1.4
111883530	13.8	76	0	1.3
111883560	13.9	77	0	0.9
111883590	13.2	80	0	0.5
111883620	12.7	82	0	0.8
111883650	12.1	85	0	0.5
