min1800	t2m	rh	padavine	veter_hitrost
111916800	13.8	97	0.1	0.9
111916830	13.7	97	0.6	0.7
111916860	13.7	97	0.7	1
111916890	13.6	97	0.4	0.5
111916920	13.6	97	0	0.7
111916950	13.6	97	0.3	0.3
111916980	13.8	97	1.1	0.3
111917010	13.8	97	1.4	1
111917040	13.1	96	4.6	2.9
111917070	12.2	94	5.1	3.5
111917100	11.6	94	3.1	4
111917130	11.3	93	1.5	2.3
111917160	10.9	92	1.7	1.3
111917190	10.8	94	1.7	1.5
111917220	11	94	2.9	2.3
111917250	10.8	93	1.7	2.8
111917280	10.7	94	1.6	2.1
111917310	10.3	95	0.4	5.2
111917340	10.3	95	0	1.6
111917370	10.7	94	0	2.1
111917400	12.5	86	0	1.7
111917430	13.2	80	0	1.9
111917460	13.3	77	0	0.9
111917490	14.6	72	0	1.1
111917520	14	74	0	1
111917550	14.4	74	0	1.6
111917580	14.7	74	0	1.5
111917610	15.3	72	0	1.9
111917640	15.8	69	0	2
111917670	16.3	66	0	2.5
111917700	14.4	71	0	2.5
111917730	14	75	0	2
111917760	14.2	74	0	2.1
111917790	13.7	74	0	0.9
111917820	13.4	76	0	1.1
111917850	12.8	80	0	0.9
111917880	12.7	83	0	0.8
111917910	12.6	84	0	0.6
111917940	12.6	84	0	0.3
111917970	12.5	86	0	0.7
111918000	12.4	86	0	0.8
111918030	12.3	88	0	0.7
111918060	12.2	89	0	0.4
111918090	12.2	89	0	0.8
111918120	12	90	0	0.3
111918150	11.6	91	0	0.5
111918180	11	94	0	0.7
111918210	10.4	94	0	0.4
