min1800	t2m	rh	padavine	veter_hitrost
111587040	9.5	70	0	1.2
111587070	9.2	70	0	1
111587100	7.8	73	0	0.7
111587130	6.9	76	0	0.2
111587160	6.2	79	0	0.1
111587190	5.8	81	0	0.7
111587220	5.7	82	0	0.4
111587250	5.3	83	0	0.5
111587280	5	84	0	0.3
111587310	4.4	85	0	0.3
111587340	4	86	0	0.2
111587370	3.7	87	0	0.2
111587400	3.4	88	0	0.1
111587430	3.3	89	0	0.3
111587460	3.1	90	0	0.3
111587490	3.2	90	0	0.2
111587520	3.8	89	0	0.5
111587550	4.8	84	0	1.2
111587580	5.8	80	0	1.1
111587610	6.9	76	0	0.6
111587640	9	69	0	0.5
111587670	10.7	63	0	0.6
111587700	11.8	60	0	0.7
111587730	13	58	0	1.5
111587760	13.9	55	0	1.1
111587790	14.5	54	0	0.8
111587820	15.1	52	0	1
111587850	15.7	50	0	1.1
111587880	16.2	49	0	1.3
111587910	16.6	48	0	1.1
111587940	17.3	46	0	1.4
111587970	17.4	45	0	2
111588000	17.2	46	0	2
111588030	17	47	0	2
111588060	16.2	48	0	1.8
111588090	15.5	51	0	1.8
111588120	14.6	54	0	1.4
111588150	13.9	57	0	1.3
111588180	13.3	59	0	0.9
111588210	12.5	62	0	0.7
111588240	11.7	65	0	0.9
111588270	10.9	68	0	0.8
111588300	10.2	70	0	0.2
111588330	9.2	74	0	0.7
111588360	8.5	77	0	0.8
111588390	7.8	80	0	0.3
111588420	7.4	82	0	0.2
111588450	6.9	83	0	0.4
