min1800	t2m	rh	padavine	veter_hitrost
112007520	2.6	95	0	0.7
112007550	2.5	96	0.1	1.1
112007580	2.5	97	0	0.7
112007610	2.5	97	0	0.9
112007640	2.4	97	0	1.1
112007670	2.2	97	0	1.4
112007700	2	97	0	2
112007730	2	97	0	1.6
112007760	2	97	0	1
112007790	2.1	97	0	0.7
112007820	2.1	97	0	1.2
112007850	2.1	96	0	1.1
112007880	2.2	96	0	0.9
112007910	2.2	95	0	1.3
112007940	2.2	95	0	1.4
112007970	2.2	94	0	2.2
112008000	2.3	94	0	2
112008030	2.3	93	0	0.9
112008060	2.4	93	0	0.9
112008090	2.5	92	0	1
112008120	2.8	91	0	1
112008150	3	90	0	1.1
112008180	3.3	88	0	0.7
112008210	3.6	86	0	0.6
112008240	3.8	84	0	0.7
112008270	4	84	0	0.8
112008300	4.2	82	0	0.7
112008330	4.3	81	0	1.4
112008360	4.4	80	0	0.9
112008390	4.5	79	0	0.6
112008420	4.5	79	0	0.8
112008450	4.4	80	0	1.2
112008480	4.3	82	0	1.6
112008510	4	84	0	1.4
112008540	3.8	84	0	1.3
112008570	3.7	85	0	1.4
112008600	3.6	85	0	1.5
112008630	3.5	85	0	1.5
112008660	3.5	86	0	1.1
112008690	3.5	86	0	0.9
112008720	3.5	86	0	0.9
112008750	3.4	86	0	0.4
112008780	3.3	87	0	0.7
112008810	3.3	86	0	0.7
112008840	3.1	87	0	1
112008870	2.9	88	0	0.8
112008900	2.6	89	0	1.2
112008930	2.5	89	0	0.8
