min1800	t2m	rh	padavine	veter_hitrost
111589920	8	83	0	0.5
111589950	7.5	84	0	0.3
111589980	7	85	0	0.4
111590010	6.7	86	0	0.9
111590040	6.5	87	0	0.5
111590070	6.1	89	0	0.7
111590100	5.8	89	0	0.6
111590130	5.3	90	0	0.3
111590160	4.9	90	0	0.4
111590190	4.6	91	0	0.2
111590220	4.4	92	0	0.1
111590250	4.2	92	0	0.1
111590280	4	92	0	0.7
111590310	3.8	92	0	0.5
111590340	3.9	92	0	0.4
111590370	4.5	92	0	0.8
111590400	5.2	89	0	0.6
111590430	5.6	86	0	0.7
111590460	6.3	81	0	1.1
111590490	6.6	78	0	0.9
111590520	7.1	76	0	0.6
111590550	7.7	72	0	1.1
111590580	8.2	69	0	1.2
111590610	8.5	67	0	1.6
111590640	8.9	65	0	1.3
111590670	9.6	63	0	1.2
111590700	10.6	60	0	1.6
111590730	11.4	58	0	1.9
111590760	11.9	56	0	2
111590790	12.3	55	0	2.2
111590820	12.5	54	0	2
111590850	12.9	53	0	1.4
111590880	13	53	0	1.5
111590910	12.7	53	0	2
111590940	12.3	54	0	1.8
111590970	11.7	56	0	1.5
111591000	11	58	0	1.5
111591030	10.2	60	0	1.6
111591060	9.5	62	0	1.1
111591090	8.8	65	0	1.4
111591120	7.7	69	0	1.3
111591150	6.9	72	0	0.9
111591180	6.4	74	0	0.6
111591210	6.1	76	0	0.9
111591240	6	77	0	0.4
111591270	6.4	75	0	0.6
111591300	6.5	75	0	0.4
111591330	6	76	0	1
