min1800	t2m	rh	padavine	veter_hitrost
111929760	9	89	0	0.7
111929790	9	89	0	1.1
111929820	8.9	90	0	1.1
111929850	8.8	91	0	1.5
111929880	8.7	91	0	1.2
111929910	8.6	92	0	1
111929940	8.6	92	0	0.8
111929970	8.6	91	0	0.4
111930000	8.5	92	0	0.9
111930030	8.5	91	0	1.1
111930060	8.4	92	0	1.6
111930090	8	93	0	1.6
111930120	7.8	94	0	1.8
111930150	7.8	94	0	1.6
111930180	7.8	93	0	1.5
111930210	7.8	92	0	1.3
111930240	7.8	92	0	1.1
111930270	7.8	91	0	2.1
111930300	8	90	0	1.2
111930330	8.1	89	0	0.6
111930360	8.4	88	0	0.7
111930390	8.8	86	0	0.9
111930420	9.1	83	0	1.1
111930450	9.5	82	0	1.8
111930480	10.4	79	0	1.8
111930510	10.9	76	0	1.8
111930540	11.4	74	0	1.9
111930570	11.8	73	0	1.9
111930600	11.9	73	0	1.6
111930630	12.5	71	0	1.6
111930660	13.1	70	0	1.4
111930690	13.6	68	0	0.8
111930720	13.6	67	0	0.9
111930750	12.8	72	0	0.7
111930780	12	76	0	1
111930810	11.3	80	0	1.2
111930840	10.7	83	0	1.3
111930870	10.1	85	0	0.9
111930900	9.5	88	0	0.7
111930930	9.1	89	0	0.5
111930960	8.6	92	0	0.7
111930990	8.4	92	0	0.7
111931020	7.8	93	0	0.9
111931050	7.5	94	0	0.6
111931080	7.1	94	0	0.7
111931110	6.9	95	0	1
111931140	6.8	96	0	0.9
111931170	6.6	96	0	0.6
