min1800	t2m	rh	padavine	veter_hitrost
111526560	-2.7	81	0	0.3
111526590	-2.8	81	0	0.3
111526620	-3.1	82	0	0.3
111526650	-3.1	83	0	0.6
111526680	-3.1	82	0	0.7
111526710	-3.3	82	0	0.8
111526740	-3.4	82	0	0.8
111526770	-3.5	83	0	0.7
111526800	-3.6	84	0	0.6
111526830	-3.8	84	0	0.4
111526860	-3.8	84	0	0.6
111526890	-3.6	84	0	0.8
111526920	-3.3	83	0	0.8
111526950	-3	83	0	0.9
111526980	-2.7	82	0	1.4
111527010	-2.5	82	0	1
111527040	-1.6	82	0	1.8
111527070	1.8	74	0	2.9
111527100	2.7	68	0	4
111527130	3	67	0	3.4
111527160	3.2	65	0	3.5
111527190	3.4	64	0	3.4
111527220	3.6	62	0	3.3
111527250	3.7	60	0	3.4
111527280	3.9	58	0	3
111527310	3.9	59	0	4.3
111527340	4	62	0	4.8
111527370	4.1	66	0	4.3
111527400	4.2	68	0	4
111527430	4.2	69	0	4.1
111527460	4.2	71	0	3.5
111527490	4	72	0	4.3
111527520	4.1	71	0	3.9
111527550	4.1	70	0	3.3
111527580	4.1	71	0	4
111527610	4.1	72	0	4.3
111527640	4.1	73	0	4.8
111527670	4.2	72	0	5.3
111527700	4.3	73	0	5.5
111527730	4.3	73	0	4.8
111527760	4.5	74	0	4
111527790	4.6	74	0	4.2
111527820	4.8	74	0	3.7
111527850	4.9	74	0	3.2
111527880	5	74	0	2.4
111527910	5	74	0	1.9
111527940	4.7	73	0	2
111527970	4.6	73	0	2.1
