min1800	t2m	rh	padavine	veter_hitrost
111980160	9.7	94	0	0.9
111980190	9.6	94	0	0.6
111980220	9.5	93	0	1.1
111980250	8.9	92	0	0.3
111980280	8.3	95	0	0.6
111980310	7.9	96	0	0.8
111980340	7.8	97	0	0.5
111980370	7.8	97	0	0.6
111980400	7.6	97	0	0.8
111980430	7.6	98	0	0.4
111980460	7.4	98	0	0.8
111980490	7.3	98	0	0.4
111980520	7.2	98	0	0.8
111980550	7.1	98	0	0.6
111980580	7.1	98	0	0.7
111980610	7.2	98	0	0.5
111980640	7.2	99	0	0.6
111980670	7.1	99	0	0.5
111980700	7.1	99	0	0.8
111980730	7.2	99	0	0.9
111980760	7.1	99	0	0.7
111980790	7.2	98	0	0.6
111980820	7.7	96	0	0.7
111980850	8.1	94	0	0.5
111980880	8.7	90	0	0.6
111980910	9.5	83	0	0.7
111980940	10.1	81	0	0.9
111980970	10.3	79	0	1.9
111981000	9.4	81	0	2.8
111981030	8.9	83	0	2.3
111981060	8.5	88	0.4	0.9
111981090	8.4	88	0.4	0.3
111981120	8.4	88	0	0.4
111981150	8.2	89	0	0.3
111981180	7.9	90	0	0.3
111981210	7.8	91	0	0.7
111981240	7.8	94	0	0.6
111981270	7.7	94	0	1.1
111981300	7.4	95	0	1.2
111981330	7.4	96	0	0.7
111981360	7.2	94	0	1.4
111981390	7.1	93	0.1	1.4
111981420	7.1	93	0.6	2
111981450	7	94	1.5	1.1
111981480	7.1	93	0	0.8
111981510	7.1	93	0	0.2
111981540	7.1	94	0	0.4
111981570	7.2	94	0	0.8
