min1800	t2m	rh	padavine	veter_hitrost
111823200	15.7	79	0	0.8
111823230	15.5	79	0	1
111823260	15.1	80	0	1.2
111823290	14.7	81	0	1.2
111823320	14.4	84	0	1.1
111823350	14.1	86	0	0.9
111823380	13.6	87	0	1.3
111823410	13.1	87	0	1.1
111823440	12.9	87	0	0.7
111823470	12.7	88	0	0.7
111823500	12.7	89	0	1
111823530	12.4	88	0	0.7
111823560	12.4	87	0	1.1
111823590	13.4	82	0	0.7
111823620	14.2	80	0	0.8
111823650	14.8	77	0	0.7
111823680	15.9	70	0	1.1
111823710	16.8	63	0	1.1
111823740	17.8	57	0	1.5
111823770	18.8	54	0	1.6
111823800	19.5	51	0	1.6
111823830	19.9	47	0	1.4
111823860	20.5	45	0	1.3
111823890	21.3	44	0	1.5
111823920	21.4	42	0	1.4
111823950	22.1	41	0	1.6
111823980	22.4	40	0	1.5
111824010	22.4	40	0	1.2
111824040	22.9	40	0	2.2
111824070	23.6	38	0	2.5
111824100	23.8	39	0	2
111824130	23.9	39	0	2.3
111824160	24.3	39	0	1.6
111824190	24.1	39	0	2
111824220	24	39	0	1.8
111824250	24	40	0	1.7
111824280	23.8	40	0	1.8
111824310	23.1	42	0	1.8
111824340	22.3	44	0	1.9
111824370	21.5	46	0	1.3
111824400	20.7	48	0	1.5
111824430	20.3	49	0	1.3
111824460	20.1	49	0	0.9
111824490	19.7	52	0	1.9
111824520	19.1	55	0	1.2
111824550	18.5	57	0	1.1
111824580	17.9	59	0	1
111824610	17.5	60	0	1.4
