min1800	t2m	rh	padavine	veter_hitrost
111742560	18.3	74	0	1.2
111742590	17.5	76	0	1.2
111742620	17.1	76	0	1.2
111742650	16.7	78	0	1.2
111742680	16.1	81	0	1.2
111742710	15.6	83	0	1.2
111742740	15.3	84	0	1.2
111742770	15.1	84	0	1.2
111742800	14.4	87	0	1.2
111742830	14	88	0	1.2
111742860	14.2	90	0	1.2
111742890	15.3	84	0	1.2
111742920	16.5	78	0	1.2
111742950	17.3	75	0	1.2
111742980	17.7	74	0	1.2
111743010	18.9	70	0	1.2
111743040	19.6	65	0	1.2
111743070	20.8	60	0	1.2
111743100	22.2	53	0	1.2
111743130	23.3	51	0	1.2
111743160	24.3	48	0	1.2
111743190	25.2	46	0	1.2
111743220	26.3	45	0	1.2
111743250	27.3	42	0	1.2
111743280	28.1	42	0	1.2
111743310	29	42	0	1.2
111743340	29.7	42	0	1.2
111743370	30	41	0	1.2
111743400	30.6	37	0	1.2
111743430	31.1	32	0	1.2
111743460	31.4	24	0	1.2
111743490	31.6	24	0	1.2
111743520	31.7	28	0	1.2
111743550	31.5	32	0	1.2
111743580	31.2	34	0	1.2
111743610	30.8	36	0	1.2
111743640	30.4	38	0	1.2
111743670	29.7	41	0	1.2
111743700	28.8	48	0	1.2
111743730	27.9	52	0	1.2
111743760	27	54	0	1.2
111743790	25.8	58	0	1.2
111743820	24.9	61	0	1.2
111743850	23.9	66	0	1.2
111743880	23.2	70	0	1.2
111743910	22.7	72	0	1.2
111743940	22.1	73	0	1.2
111743970	21.4	76	0	1.2
