min1800	t2m	rh	padavine	veter_hitrost
112008960	2.2	90	0	1.1
112008990	1.9	90	0	1.2
112009020	1.7	91	0	0.8
112009050	1.6	91	0	0.8
112009080	1.3	92	0	0.7
112009110	1	92	0	0.7
112009140	0.5	93	0	0.6
112009170	0.1	94	0	1.1
112009200	0	96	0	0.8
112009230	0.1	96	0	0.5
112009260	0.2	95	0	0.7
112009290	0	94	0	0.9
112009320	-0.2	95	0	0.6
112009350	-0.1	95	0	0.8
112009380	-0.1	95	0	0.7
112009410	0.2	95	0	0.8
112009440	0.4	95	0	1.1
112009470	0.5	94	0	0.9
112009500	0.7	93	0	0.9
112009530	0.9	92	0	1.1
112009560	1.3	90	0	1.1
112009590	2.2	88	0	0.5
112009620	3.1	84	0	0.7
112009650	4	79	0	0.9
112009680	4.6	76	0	0.8
112009710	5	74	0	1.1
112009740	5.5	73	0	0.9
112009770	5.8	70	0	0.9
112009800	5.8	71	0	0.6
112009830	6	69	0	0.6
112009860	6.3	68	0	0.4
112009890	6.3	68	0	0.4
112009920	5.5	71	0	0.7
112009950	4.6	74	0	0.5
112009980	3.9	80	0	0.4
112010010	3.1	84	0	0.3
112010040	2.6	86	0	0.5
112010070	2.1	88	0	0.4
112010100	1.7	90	0	0.5
112010130	1.2	91	0	0.2
112010160	0.8	92	0	0.6
112010190	0.4	93	0	0.3
112010220	0.1	94	0	0.3
112010250	0	94	0	0.7
112010280	-0.3	94	0	0.5
112010310	-0.4	95	0	0.7
112010340	-0.2	95	0	0.6
112010370	-0.2	96	0	0.7
