min1800	t2m	rh	padavine	veter_hitrost
111533760	4.7	81	0	0.9
111533790	4.7	80	0	1
111533820	4.7	78	0	1.4
111533850	4.4	79	0	1.3
111533880	4.3	80	0	1.1
111533910	4.5	78	0	1.4
111533940	4.4	78	0	1
111533970	4.3	80	0	0.4
111534000	4.4	80	0	1.1
111534030	4.4	80	0	1.4
111534060	4.4	79	0	0.8
111534090	4.4	79	0	1
111534120	4.2	80	0	1
111534150	4.3	82	0	1.1
111534180	4.5	82	0	3.3
111534210	3	87	1.7	2.6
111534240	3	88	0.5	1.6
111534270	3	88	0	1.7
111534300	2.9	89	0	2.1
111534330	2.9	89	0	1.1
111534360	3.3	88	0	1.4
111534390	3.5	86	0	1.1
111534420	3.7	84	0	0.9
111534450	4.3	82	0	1.1
111534480	4.7	79	0	0.9
111534510	4.9	77	0	1
111534540	5.1	78	0	1.4
111534570	5.1	76	0	1.6
111534600	5.1	76	0	1.6
111534630	5.3	76	0	1.9
111534660	5.5	76	0	1.3
111534690	5.6	74	0	0.6
111534720	5.4	75	0	0.8
111534750	5.4	76	0	1.1
111534780	5	78	0	1.6
111534810	3.9	79	0	1.1
111534840	3.5	79	0	0.8
111534870	3.2	79	0	1.7
111534900	2.9	81	0	1.3
111534930	2.7	83	0	0.8
111534960	1.9	86	0	0.3
111534990	1.2	88	0	0.3
111535020	0.9	91	0	0.5
111535050	0.6	92	0	0.5
111535080	0.4	93	0	0.4
111535110	0	93	0	0.9
111535140	-0.1	94	0	1.2
111535170	-0.1	94	0	1
