min1800	t2m	rh	padavine	veter_hitrost
111925440	10.4	98	0	0.7
111925470	9.9	98	0	0.3
111925500	9.3	98	0	0.4
111925530	9.3	98	0	0.4
111925560	9.4	98	0	0.2
111925590	9.6	99	0	0.3
111925620	9.6	99	0	0.2
111925650	9.7	99	0	0.4
111925680	9.5	99	0	0.8
111925710	9.3	99	0	0.8
111925740	9.1	99	0	0.8
111925770	8.9	99	0	0.8
111925800	8.7	99	0	0.6
111925830	8.5	99	0	0.7
111925860	8.4	99	0	0.9
111925890	8	99	0	0.9
111925920	8	99	0	0.7
111925950	8.3	98	0	0.6
111925980	8.7	98	0	0.6
111926010	9.2	96	0	0.9
111926040	9.6	94	0	0.9
111926070	10.4	93	0	0.8
111926100	11.1	91	0	0.8
111926130	11.9	90	0	0.5
111926160	12.7	87	0	0.4
111926190	13.5	85	0	0.8
111926220	14.8	79	0	0.9
111926250	15.8	75	0	0.9
111926280	16.2	73	0	1.2
111926310	16.8	71	0	0.9
111926340	17.2	70	0	0.8
111926370	17.3	70	0	1.1
111926400	17	70	0	1.1
111926430	16.3	75	0	0.9
111926460	15.4	78	0	0.2
111926490	14.2	82	0	0.5
111926520	13.3	88	0	0.3
111926550	12.7	91	0	0.3
111926580	12.3	92	0	0.6
111926610	11.6	93	0	0.3
111926640	11.2	95	0	0.6
111926670	11.1	96	0	0.7
111926700	11	97	0	0.5
111926730	11	98	0	0.7
111926760	10.6	98	0	0.5
111926790	10.2	98	0	0.5
111926820	10.1	98	0	0.4
111926850	10	98	0	0.3
