min1800	t2m	rh	padavine	veter_hitrost
111908160	13	86	0.3	0.9
111908190	12.7	89	1.1	0.4
111908220	12.5	92	0.6	0.9
111908250	12.3	93	1.4	0.8
111908280	12.3	94	0.5	0.9
111908310	12.3	94	0.3	0.3
111908340	12.4	94	0.1	0.4
111908370	12.3	94	0.1	0.4
111908400	12.4	95	0	0.6
111908430	12.4	95	0	0.8
111908460	12.3	95	0	0.8
111908490	12.2	95	0	0.7
111908520	12.3	95	0	1.1
111908550	12.3	95	0	1
111908580	12.3	95	0	1.1
111908610	12.2	93	0	1.5
111908640	12.1	92	0	1.1
111908670	11.9	91	0	1.9
111908700	11.7	88	0	1.6
111908730	11.7	89	0.4	1.6
111908760	11.5	89	0.5	2.2
111908790	11.1	90	0.3	2
111908820	10.6	90	0	2.2
111908850	10.5	90	0	1.9
111908880	10.7	89	0	2.4
111908910	10.8	86	0	2.3
111908940	11	85	0	2.1
111908970	11.1	82	0	2.1
111909000	11.2	80	0	1.6
111909030	11.2	79	0	1.6
111909060	11.3	79	0	1.7
111909090	11.4	79	0	1.3
111909120	11.3	79	0	1.4
111909150	11.2	80	0	1.2
111909180	11.2	80	0	0.7
111909210	11.2	80	0	0.7
111909240	11.2	80	0	0.4
111909270	11.1	80	0	0.4
111909300	11	82	0	0.5
111909330	11	83	0	0.6
111909360	10.9	81	0	0.3
111909390	10.8	83	0	1.3
111909420	10.4	86	0	1.4
111909450	10.3	86	0	0.5
111909480	10.3	84	0	0.7
111909510	10.3	85	0	0.9
111909540	10.2	88	0	1.4
111909570	9.9	89	0	1
