min1800	t2m	rh	padavine	veter_hitrost
111618720	9.5	71	0	0.2
111618750	8.9	74	0	0.3
111618780	8.5	76	0	0.5
111618810	7.8	77	0	0.3
111618840	7.6	79	0	0.2
111618870	7.2	81	0	0.2
111618900	6.9	82	0	0.5
111618930	6.7	83	0	0.3
111618960	6.2	84	0	0.1
111618990	5.8	85	0	0.1
111619020	5.6	87	0	0.3
111619050	5.4	88	0	0.2
111619080	5.2	87	0	0.3
111619110	5.1	88	0	0.6
111619140	5.2	87	0	0.5
111619170	5.9	85	0	0.4
111619200	6.8	80	0	0.9
111619230	8	76	0	0.9
111619260	9.4	70	0	0.6
111619290	11.1	64	0	0.6
111619320	12.3	59	0	0.8
111619350	13.8	55	0	1.2
111619380	14.9	51	0	1.3
111619410	15.5	50	0	1.1
111619440	17	47	0	1
111619470	19.3	37	0	1.4
111619500	20.5	32	0	2
111619530	20.8	29	0	3.5
111619560	21.4	29	0	3.9
111619590	21.5	27	0	4.4
111619620	21.3	26	0	4.6
111619650	21.2	25	0	4.8
111619680	21.3	25	0	4.5
111619710	21	25	0	4.2
111619740	20.8	25	0	3.5
111619770	20	26	0	3.4
111619800	19.2	28	0	2.8
111619830	18.2	32	0	3.2
111619860	17.4	34	0	2.5
111619890	16.3	37	0	2.1
111619920	15.5	39	0	2.3
111619950	14.9	40	0	2.9
111619980	14.3	41	0	3.7
111620010	13.7	42	0	2.4
111620040	13	42	0	1.4
111620070	12.4	44	0	0.8
111620100	11.4	48	0	0.8
111620130	10.5	54	0	1
