min1800	t2m	rh	padavine	veter_hitrost
111574080	0.7	91	0	0.9
111574110	0.7	92	0	1.1
111574140	0.7	92	0	0.8
111574170	0.7	92	0	0.5
111574200	0.7	91	0	0.9
111574230	0.6	91	0	1.1
111574260	0.6	90	0	0.9
111574290	0.7	88	0	1.1
111574320	0.7	86	0	1
111574350	0.6	85	0	1.6
111574380	0.6	86	0	1.1
111574410	0.6	85	0	0.9
111574440	0.5	83	0	0.6
111574470	0.3	83	0	1.2
111574500	-0.2	85	0	1.1
111574530	-0.1	85	0	1.3
111574560	0.3	84	0	1.6
111574590	0.7	81	0	1.6
111574620	0.9	79	0	1.5
111574650	1.1	78	0	1.2
111574680	2	75	0	1.1
111574710	3	66	0	1.4
111574740	3.5	56	0	2.4
111574770	3.7	54	0	2
111574800	4.1	55	0	2.2
111574830	4.5	54	0	1.7
111574860	5.2	52	0	1.5
111574890	4.9	51	0	1.6
111574920	5.4	50	0	1.5
111574950	5.7	49	0	1.3
111574980	6.1	49	0	1.7
111575010	5.7	54	0	2.5
111575040	5.3	56	0	3.2
111575070	4.8	56	0	2.9
111575100	4.1	57	0	2.2
111575130	3.9	57	0	1.5
111575160	3.5	59	0	1.6
111575190	3	62	0	1.4
111575220	2.5	64	0	0.7
111575250	1.9	67	0	0.5
111575280	1.3	71	0	0.4
111575310	0.7	76	0	0.7
111575340	0.4	80	0	0.4
111575370	-0.1	80	0	0.6
111575400	-0.5	83	0	1.1
111575430	-0.7	85	0	1.1
111575460	-1	87	0	0.6
111575490	-1.4	88	0	0.4
