min1800	t2m	rh	padavine	veter_hitrost
111955680	11.7	97	0	0.7
111955710	11.7	97	0	0.9
111955740	11.6	97	0	0.4
111955770	11.7	97	0	0.7
111955800	11.8	97	0	0.8
111955830	11.8	97	0.1	1.1
111955860	11.7	97	0	1.2
111955890	11.7	98	0.2	1.3
111955920	12	98	0	1.2
111955950	12.2	97	0	0.9
111955980	12.3	97	0	0.9
111956010	12.2	97	0	0.5
111956040	12	97	0	0.5
111956070	12.2	97	0.1	0.8
111956100	12.3	97	0	0.9
111956130	12.3	97	0	1.1
111956160	12.3	97	0.3	0.4
111956190	12.5	97	0.4	0.3
111956220	12.5	97	0.5	0.3
111956250	12.6	98	1.6	0.9
111956280	12.6	98	1.5	1
111956310	12.7	98	0.6	0.2
111956340	13	97	0	0.1
111956370	13.3	97	0	0.6
111956400	13.4	96	0	0.5
111956430	13.7	95	0	0.6
111956460	13.9	94	0	0.9
111956490	14.1	93	0	0.9
111956520	14.3	92	0.1	0.9
111956550	14.4	91	0	0.5
111956580	14.3	90	0	0.4
111956610	14.4	91	0	0.6
111956640	14.2	92	0.1	0.5
111956670	14	93	0	0.4
111956700	13.8	95	0	1.2
111956730	13.7	95	0	0.6
111956760	13.7	96	0	0.7
111956790	13.5	96	0	0.4
111956820	13.4	96	0	0.7
111956850	13.3	96	0	1.1
111956880	13.1	96	0	1.1
111956910	12.7	95	0	1.4
111956940	12.2	95	0	1.5
111956970	11.9	95	0	1
111957000	11.7	95	0.1	1.3
111957030	11.5	96	0.1	1.5
111957060	11.4	96	0	2.1
111957090	11.3	95	0	2.1
