min1800	t2m	rh	padavine	veter_hitrost
111831840	20.2	79	0	0.6
111831870	19.6	81	0	0.3
111831900	19.2	83	0	0.2
111831930	18.9	85	0	0.3
111831960	18.6	85	0	0.2
111831990	18.3	87	0	0.4
111832020	18.1	88	0	0.3
111832050	17.7	89	0	0.3
111832080	17.4	90	0	0.3
111832110	17.2	90	0	0.1
111832140	17	92	0	0.1
111832170	16.8	92	0	0.4
111832200	16.9	92	0	0.6
111832230	17.5	88	0	0.5
111832260	18.3	86	0	0.3
111832290	19.7	80	0	0.4
111832320	20.8	75	0	0.7
111832350	21.7	70	0	0.7
111832380	22.6	66	0	0.8
111832410	23.8	60	0	0.7
111832440	24.9	56	0	1.1
111832470	25.9	51	0	1.3
111832500	26.6	50	0	1.6
111832530	27.2	50	0	2.2
111832560	27.7	49	0	1.6
111832590	28.1	46	0	1.5
111832620	28.6	44	0	1.6
111832650	29	43	0	2
111832680	29.5	41	0	1.8
111832710	29.7	40	0	2
111832740	30.1	39	0	2.3
111832770	30.2	39	0	1.9
111832800	30.4	38	0	1.7
111832830	30.3	38	0	1.9
111832860	30.1	38	0	1.6
111832890	29.9	39	0	2.1
111832920	29.4	40	0	1.9
111832950	28.7	41	0	1.5
111832980	27.9	43	0	1.2
111833010	26.9	47	0	1.2
111833040	25.8	51	0	1.5
111833070	25	55	0	1.1
111833100	24.2	59	0	1.1
111833130	23.6	61	0	1
111833160	22.9	65	0	0.7
111833190	22.3	67	0	1
111833220	21.9	69	0	0.8
111833250	21.4	71	0	0.4
