min1800	t2m	rh	padavine	veter_hitrost
112019040	10.8	83	0	1.8
112019070	11	83	0	2.1
112019100	10.9	82	0	1.6
112019130	10.7	84	0	1.4
112019160	10.8	84	0	1.3
112019190	10.9	83	0	1
112019220	11	81	0	1.6
112019250	11.3	80	0	1.6
112019280	11.2	80	0	0.9
112019310	10.8	83	0	1.1
112019340	10.4	87	0	0.6
112019370	10.1	89	0	0.4
112019400	10.2	90	0	0.4
112019430	10	92	0	0.3
112019460	9.8	93	0	0.1
112019490	9.7	93	0	0.6
112019520	9.8	93	0	0.7
112019550	9.8	93	0	0.9
112019580	9.9	93	0.1	0.5
112019610	10	93	0	0.1
112019640	9.9	93	0	0.7
112019670	9.8	94	0	0.9
112019700	9.7	94	0	0.9
112019730	9.7	94	0	0.5
112019760	9.7	94	0	0.9
112019790	9.6	94	0	0.6
112019820	9.6	95	0	0.9
112019850	9.6	94	0.1	1
112019880	9.6	95	0.2	1
112019910	9.6	95	0.2	1.1
112019940	9.6	96	0.8	0.7
112019970	9.6	96	0.7	0.6
112020000	9.5	96	0.9	1
112020030	9.4	96	1.6	2.5
112020060	8	89	4.9	3.9
112020090	7.4	93	3	3.5
112020120	7.1	92	2.1	3.1
112020150	6.9	92	2	2.2
112020180	6.8	93	1.4	1.1
112020210	6.7	89	0.2	1.9
112020240	6.2	88	0	2.3
112020270	5.9	88	0	1.3
112020300	5.8	88	0	0.9
112020330	5.6	87	0	1.4
112020360	5	88	0	1.1
112020390	4.5	90	0	1.1
112020420	3.9	92	0	0.6
112020450	3.4	94	0	0.2
