min1800	t2m	rh	padavine	veter_hitrost
111877920	14.8	92	0	0.1
111877950	14.5	93	0	0.5
111877980	14.2	93	0	0.2
111878010	13.9	94	0	0.2
111878040	13.8	95	0	0.5
111878070	13.7	96	0	0.8
111878100	13.5	96	0	0.6
111878130	13.2	96	0	0.5
111878160	13.3	97	0	0.4
111878190	13.3	97	0	0.5
111878220	13.1	97	0	0.8
111878250	13.1	98	0	0.3
111878280	13.1	98	0	0.4
111878310	13.1	98	0	0.6
111878340	13.2	96	0	0.7
111878370	13.5	95	0	0.6
111878400	13.8	94	0	0.6
111878430	14.3	92	0	0.6
111878460	15.1	90	0	0.5
111878490	15.6	87	0	1.1
111878520	15.8	88	0	1.3
111878550	16.1	86	0	0.8
111878580	17	84	0	1.1
111878610	17.4	82	0	1.2
111878640	18.1	80	0	1.3
111878670	19.1	75	0	1.1
111878700	19.6	72	0	1.2
111878730	19.6	73	0	2.1
111878760	19.6	73	0	2.8
111878790	20	71	0	2.8
111878820	19.8	70	0	2.2
111878850	19.6	72	0	2.3
111878880	19	78	0.8	0.9
111878910	18.2	84	0.5	1.3
111878940	17.6	88	2.6	1.3
111878970	16.6	89	2.5	3.7
111879000	14.2	90	5.4	5.1
111879030	13.5	92	7.4	3.2
111879060	12.8	93	4.9	3.2
111879090	12.3	93	3	2.9
111879120	11.9	90	0.9	2.5
111879150	11.4	90	1.2	2
111879180	11.3	91	0.9	1.8
111879210	11	91	0.8	1.6
111879240	11	92	0.1	0.8
111879270	11	93	0.4	0.6
111879300	11	91	0.6	1.1
111879330	10.8	92	0.4	1.7
