min1800	t2m	rh	padavine	veter_hitrost
111556800	-7.8	62	0	0.5
111556830	-8.2	66	0	0.8
111556860	-8.6	68	0	1.1
111556890	-9.1	71	0	0.8
111556920	-9.6	74	0	0.8
111556950	-10.1	76	0	0.4
111556980	-10.4	77	0	0.6
111557010	-10.6	77	0	0.6
111557040	-11	78	0	1.1
111557070	-11.4	79	0	1.2
111557100	-11.8	80	0	1.2
111557130	-11.8	81	0	0.8
111557160	-11.9	81	0	1.3
111557190	-12	81	0	0.9
111557220	-11.9	81	0	0.5
111557250	-11.8	80	0	0.9
111557280	-11.6	80	0	0.8
111557310	-11.6	80	0	0.8
111557340	-11.1	78	0	0.6
111557370	-10.4	76	0	0.8
111557400	-9.2	72	0	0.9
111557430	-7.8	66	0	0.9
111557460	-6.8	59	0	0.7
111557490	-5.7	53	0	0.8
111557520	-5.1	50	0	1
111557550	-4.3	47	0	0.8
111557580	-4.1	45	0	1.2
111557610	-3.5	44	0	1.3
111557640	-3.2	42	0	1.4
111557670	-2.5	41	0	1.3
111557700	-2.3	39	0	1.6
111557730	-1.9	38	0	1.8
111557760	-2.2	37	0	2.1
111557790	-2.8	38	0	2.2
111557820	-3.3	41	0	2.5
111557850	-3.7	43	0	2.2
111557880	-4	45	0	2.3
111557910	-4.3	45	0	3.4
111557940	-4.6	47	0	2.5
111557970	-4.9	48	0	2.5
111558000	-5.2	46	0	2.7
111558030	-5.4	45	0	1.6
111558060	-5.6	46	0	1.3
111558090	-6	51	0	0.9
111558120	-6	50	0	1.3
111558150	-6.1	50	0	1.1
111558180	-6.3	51	0	1.7
111558210	-6.4	52	0	0.8
