min1800	t2m	rh	padavine	veter_hitrost
111856320	20.3	88	0	1.2
111856350	20.1	88	0	0.5
111856380	19.9	88	0	0.4
111856410	19.7	88	0	0.3
111856440	19.4	89	0	0.6
111856470	19.3	91	0	0.7
111856500	19.2	92	0	0.3
111856530	19.1	92	0	0.2
111856560	19	93	0	0.6
111856590	18.8	92	0	1
111856620	18.6	92	0	1
111856650	18.7	92	0.1	0.6
111856680	18.7	93	0	0.3
111856710	18.8	93	0	0.6
111856740	18.9	93	0	0.3
111856770	19.1	93	0	0.6
111856800	19.3	91	0	1.1
111856830	19.8	88	0	0.6
111856860	20.5	83	0	0.8
111856890	21	80	0	0.8
111856920	21.3	75	0	0.9
111856950	21.7	73	0	0.7
111856980	22	73	0	0.6
111857010	22.4	71	0	0.5
111857040	22.6	71	0	1.8
111857070	23.5	69	0	1.7
111857100	24.3	66	0	1
111857130	25.5	62	0	1.5
111857160	26.1	60	0	1.7
111857190	26.7	55	0	2
111857220	27.2	52	0	2.4
111857250	27	51	0	3
111857280	26.8	52	0	3.8
111857310	26.6	53	0	3.7
111857340	26.1	54	0	3
111857370	25.7	54	0	2.3
111857400	25.1	57	0	2.3
111857430	24.3	62	0	1.6
111857460	23.7	65	0	1.1
111857490	23	66	0	0.8
111857520	22.4	70	0	0.7
111857550	22	71	0	0.9
111857580	21.9	72	0	1.5
111857610	21.7	72	0	1.1
111857640	21.4	74	0	1.3
111857670	21.3	75	0	1.1
111857700	20.8	78	0	1.2
111857730	20.4	78	0	1.3
