min1800	t2m	rh	padavine	veter_hitrost
112026240	-1.9	96	0	0.9
112026270	-2	96	0	1.2
112026300	-2.1	96	0	0.7
112026330	-2.2	96	0	0.6
112026360	-2.2	96	0	0.7
112026390	-2.2	96	0	0.8
112026420	-2.2	96	0	1.1
112026450	-2.3	96	0	1.3
112026480	-2.3	96	0	0.5
112026510	-2.3	96	0	0.8
112026540	-2.2	96	0	1
112026570	-2.2	95	0	0.6
112026600	-2.3	95	0	1.6
112026630	-2.4	95	0	0.8
112026660	-2.4	95	0	0.9
112026690	-2.5	95	0	0.8
112026720	-2.5	95	0	0.9
112026750	-2.5	95	0	0.8
112026780	-2.5	95	0	0.7
112026810	-2.4	94	0	0.7
112026840	-2.3	94	0	0.7
112026870	-2.2	94	0	0.8
112026900	-2	94	0	0.7
112026930	-1.7	93	0	0.8
112026960	-1.5	92	0	0.8
112026990	-1.1	91	0	0.8
112027020	-0.2	88	0	0.9
112027050	0.3	84	0	1.3
112027080	0.2	84	0	0.9
112027110	0.1	86	0	0.8
112027140	0.3	86	0	0.9
112027170	-0.2	88	0	1.3
112027200	-0.4	90	0	1.1
112027230	-0.6	92	0	0.8
112027260	-0.6	92	0	0.5
112027290	-0.5	92	0	0.6
112027320	-0.5	93	0	0.9
112027350	-0.7	94	0	0.4
112027380	-0.7	94	0	0.8
112027410	-0.8	94	0	0.5
112027440	-0.8	95	0	0.7
112027470	-0.9	95	0	0.7
112027500	-1	96	0	0.5
112027530	-1.2	96	0	0.7
112027560	-1.4	96	0	1.3
112027590	-1.4	96	0	0.6
112027620	-1.4	96	0	0.6
112027650	-1.3	96	0	0.5
