min1800	t2m	rh	padavine	veter_hitrost
111695040	9.8	61	0	0
111695070	9.4	63	0	0.1
111695100	9	66	0	1.2
111695130	8.6	66	0	0.8
111695160	8.4	68	0	0.9
111695190	8.3	69	0	0.3
111695220	8	70	0	0.5
111695250	7.8	69	0	0.3
111695280	7.5	70	0	0
111695310	7.5	72	0	0.4
111695340	7.4	72	0	0.9
111695370	7.3	74	0	0.3
111695400	7.6	74	0	0.7
111695430	8.1	73	0	0.2
111695460	8.5	67	0	0.7
111695490	9.1	60	0	1.1
111695520	9.7	58	0	0.9
111695550	11.5	52	0	0.7
111695580	12.7	47	0	0.6
111695610	13.7	45	0	1.1
111695640	14.6	45	0	1.6
111695670	15.2	44	0	1.7
111695700	15.9	43	0	1.7
111695730	16.3	45	0	2.2
111695760	16.8	43	0	2.6
111695790	17.5	42	0	2
111695820	18.1	41	0	1.6
111695850	18	40	0	2.3
111695880	18.5	40	0	2.5
111695910	18.7	39	0	2.4
111695940	19	38	0	2.5
111695970	18.9	37	0	1.8
111696000	19.1	37	0	2
111696030	19.3	36	0	2.5
111696060	19.3	35	0	2
111696090	19.3	36	0	1.6
111696120	18.8	36	0	1.6
111696150	18.5	38	0	1.8
111696180	17.5	42	0	2.2
111696210	16.5	47	0	1.5
111696240	15.6	51	0	1.7
111696270	14.9	54	0	1.7
111696300	14.4	57	0	1.4
111696330	13.7	60	0	1.4
111696360	12.9	63	0	0.9
111696390	12.1	66	0	0.5
111696420	11.4	71	0	0.3
111696450	10.8	74	0	0.3
