min1800	t2m	rh	padavine	veter_hitrost
111859200	20.1	80	0	0.2
111859230	19.9	82	0	0.2
111859260	19.9	80	0	1.9
111859290	18.8	80	2.7	3.3
111859320	17.3	86	6	1.7
111859350	16.7	90	1.4	0.6
111859380	16.8	91	0.1	1
111859410	16.7	92	0	1
111859440	16.6	92	0	0.8
111859470	16.5	93	0	0.1
111859500	16.5	94	0	0.7
111859530	16.5	94	0	0.7
111859560	16.2	94	0	1.1
111859590	16.2	94	0	1.6
111859620	16.4	94	0	0.9
111859650	16.7	93	0	0.4
111859680	18	89	0	0.8
111859710	19	84	0	1.3
111859740	19.5	81	0	1.9
111859770	19.3	80	0	1.3
111859800	20.1	74	0	1.2
111859830	20.2	73	0	1.7
111859860	20.8	74	0	1.5
111859890	21.3	71	0	1.5
111859920	22.6	66	0	2.4
111859950	22.7	63	0	2.5
111859980	23.4	60	0	2.1
111860010	23.5	61	0	1.7
111860040	23.1	62	0	3.1
111860070	23.1	63	0	2
111860100	23.6	63	0	2.1
111860130	23.6	63	0	2.1
111860160	22.6	67	0	1.6
111860190	22.3	68	0	2
111860220	22	68	0	1.8
111860250	21.7	68	0	2
111860280	21.6	68	0	2
111860310	21.2	70	0	1.7
111860340	20.7	72	0	1
111860370	20	75	0	0.7
111860400	19.5	78	0	0.9
111860430	19.5	80	0	1.1
111860460	19.3	80	0	1.1
111860490	19.2	82	0	0.8
111860520	18.9	85	0	1.3
111860550	18.7	87	0	1.4
111860580	18.6	87	0	0.8
111860610	18.6	77	0	1.2
