min1800	t2m	rh	padavine	veter_hitrost
111561120	-8.2	71	0	1.6
111561150	-8.4	72	0	1.3
111561180	-8.4	72	0	1.7
111561210	-8.4	71	0	1.4
111561240	-8.3	72	0	1.5
111561270	-8.7	78	0	1.4
111561300	-8.5	78	0.1	1.7
111561330	-8.6	76	0	1.5
111561360	-8.7	76	0	1.7
111561390	-8.8	79	0	1.9
111561420	-8.8	77	0	1.5
111561450	-8.8	78	0	1
111561480	-8.7	78	0	1.1
111561510	-8.7	79	0	0.9
111561540	-8.7	81	0	1
111561570	-8.6	80	0	1.7
111561600	-8.5	79	0.1	1.7
111561630	-8.4	80	0	1.3
111561660	-7.9	79	0	1.2
111561690	-7.2	78	0	0.5
111561720	-7	76	0	1.8
111561750	-7.2	76	0	2
111561780	-7.1	78	0.1	1.1
111561810	-6.8	79	0.1	1.2
111561840	-6.4	79	0.1	0.9
111561870	-5.9	74	0	1.4
111561900	-5.8	73	0	2.1
111561930	-5.6	72	0	1.6
111561960	-5.8	72	0	1.4
111561990	-6.1	73	0	2.2
111562020	-6.3	76	0	1.9
111562050	-6.4	77	0	1.4
111562080	-6.4	80	0	1.2
111562110	-6.4	78	0.1	1.7
111562140	-6.4	79	0.1	1.2
111562170	-6.7	81	0.1	1.1
111562200	-6.9	82	0.2	1.2
111562230	-7.2	83	0.3	1.6
111562260	-7.3	84	0.3	1.1
111562290	-7.3	84	0.3	0.6
111562320	-7.2	83	0.2	1.1
111562350	-7.2	84	0.2	0.9
111562380	-7.2	84	0.2	0.6
111562410	-7.1	84	0.1	0.3
111562440	-7.2	85	0.2	0.2
111562470	-7.2	85	0.1	0.1
111562500	-7.3	83	0.1	0.8
111562530	-7.3	82	0	0.3
