min1800	t2m	rh	padavine	veter_hitrost
111800160	21.2	83	0	0.5
111800190	20.9	85	0	0.3
111800220	20.7	86	0	0.5
111800250	20.3	86	0	0.7
111800280	20.1	86	0	0.2
111800310	19.9	86	0	0.5
111800340	19.6	88	0	0.1
111800370	19.3	89	0	0.4
111800400	19	90	0	0.1
111800430	18.7	91	0	0.4
111800460	18.4	92	0	0.3
111800490	18.3	92	0	0.5
111800520	18.8	89	0	0.7
111800550	19.5	86	0	0.3
111800580	20.5	80	0	0.4
111800610	21.3	77	0	0.8
111800640	22.1	74	0	0.7
111800670	23	72	0	0.9
111800700	23.8	71	0	1.1
111800730	24.8	67	0	1.1
111800760	25.8	64	0	1.2
111800790	26.9	58	0	0.9
111800820	27.8	56	0	0.7
111800850	28.9	52	0	1.3
111800880	30	44	0	1.7
111800910	30.3	41	0	1.6
111800940	30.8	37	0	1.2
111800970	31.3	35	0	1.8
111801000	31.7	35	0	1.3
111801030	31.8	35	0	1.6
111801060	31.8	35	0	1.6
111801090	32.1	36	0	2.1
111801120	32.1	37	0	2
111801150	32	39	0	2
111801180	31.7	41	0	2.1
111801210	31.3	42	0	2.2
111801240	30.6	45	0	2.1
111801270	29.9	48	0	1.7
111801300	28.9	51	0	1.4
111801330	28.1	54	0	1
111801360	27.3	56	0	0.6
111801390	26.3	59	0	0.1
111801420	25.2	64	0	0
111801450	24.7	68	0	0.3
111801480	24.2	71	0	0.3
111801510	23.6	73	0	0.5
111801540	23	77	0	0.1
111801570	22.5	79	0	0.1
