min1800	t2m	rh	padavine	veter_hitrost
111785760	16.8	72	0	0.3
111785790	16.3	74	0	1
111785820	15.9	76	0	1.3
111785850	15.3	77	0	0.6
111785880	15	78	0	0.2
111785910	14.8	80	0	0.1
111785940	14.2	81	0	0.1
111785970	13.5	85	0	0
111786000	13.3	88	0	0.1
111786030	13.2	88	0	0.2
111786060	12.8	89	0	0.3
111786090	12.8	88	0	0.1
111786120	13.9	83	0	0.2
111786150	14.9	80	0	0.2
111786180	16	74	0	0.3
111786210	16.4	71	0	1.3
111786240	17.4	67	0	1.4
111786270	18.5	62	0	0.9
111786300	19.1	54	0	1.3
111786330	19.8	52	0	1.2
111786360	20.5	50	0	1.1
111786390	21	50	0	1.6
111786420	21.4	49	0	1.5
111786450	22.2	48	0	1.1
111786480	22.7	47	0	1.4
111786510	23.6	44	0	1.9
111786540	24.2	41	0	1.3
111786570	24.6	40	0	1.4
111786600	25	40	0	1.5
111786630	25.4	40	0	1.7
111786660	25.7	40	0	2.4
111786690	25.8	40	0	1.4
111786720	26.2	40	0	1.5
111786750	26.2	38	0	1.1
111786780	26.6	38	0	1.6
111786810	26.3	40	0	2.5
111786840	25.9	42	0	2.8
111786870	25.1	43	0	2.7
111786900	24.5	45	0	2.1
111786930	24.1	46	0	1.3
111786960	23.7	51	0	1.1
111786990	23.2	51	0	1
111787020	22.1	60	0	1.4
111787050	21.4	63	0	1.3
111787080	20.7	65	0	0.9
111787110	20.1	66	0	0.7
111787140	20	66	0	0.6
111787170	19.7	66	0	1.1
