min1800	t2m	rh	padavine	veter_hitrost
111994560	-4.1	87	0	0.6
111994590	-4.2	88	0	0.6
111994620	-4.2	86	0	1.1
111994650	-4.8	87	0	0.9
111994680	-5	85	0	1.5
111994710	-5.2	83	0	1.1
111994740	-5.3	86	0	1.2
111994770	-5.6	85	0	1.4
111994800	-6	85	0	0.7
111994830	-6.4	88	0	0.6
111994860	-6.7	89	0	0.6
111994890	-7.1	89	0	0.6
111994920	-7.3	90	0	0.6
111994950	-7.7	90	0	0.4
111994980	-7.9	91	0	0.6
111995010	-7.9	92	0	0.8
111995040	-7.7	90	0	1.4
111995070	-8	88	0	1.5
111995100	-7.7	88	0	1.4
111995130	-6.6	87	0	1.1
111995160	-5.6	82	0	1.3
111995190	-4.7	76	0	1.4
111995220	-3.7	71	0	1.4
111995250	-3.2	68	0	2.4
111995280	-2.4	67	0	2
111995310	-2	64	0	2
111995340	-1.3	61	0	2
111995370	-0.7	59	0	1.6
111995400	-0.6	60	0	1.8
111995430	0.2	59	0	1
111995460	0.4	60	0	0.7
111995490	0	62	0	0.8
111995520	-1	66	0	0.3
111995550	-1.9	74	0	0.6
111995580	-2.7	80	0	0.2
111995610	-3.4	84	0	0.5
111995640	-3.9	85	0	0.6
111995670	-4.1	87	0	0.4
111995700	-4.1	90	0	0.6
111995730	-4.5	90	0	0.5
111995760	-5	91	0	0.2
111995790	-5.3	92	0	0.3
111995820	-5.7	92	0	0.3
111995850	-6.1	93	0	0.3
111995880	-6.3	93	0	0.6
111995910	-6.5	94	0	0.5
111995940	-6.7	94	0	0.5
111995970	-6.9	94	0	0.4
