min1800	t2m	rh	padavine	veter_hitrost
111771360	17.6	93	0	0.6
111771390	17.4	94	0	0.6
111771420	17.3	93	0	0.3
111771450	17	93	0	0.5
111771480	17	93	0	0.4
111771510	16.9	92	0	0.8
111771540	16.8	92	0	0.6
111771570	16.9	94	0	0.6
111771600	16.8	95	0	0.3
111771630	16.8	95	0	0.5
111771660	16.7	93	0	0.8
111771690	16.4	94	0	1.4
111771720	16.5	95	0	0.6
111771750	16.7	95	0	0.3
111771780	17	94	0	0.8
111771810	17.3	92	0	0.6
111771840	18.7	87	0	0.5
111771870	20.2	79	0	0.6
111771900	21.1	77	0	0.9
111771930	22.5	73	0	0.9
111771960	23.9	69	0	0.9
111771990	25.3	66	0	1.1
111772020	26.7	62	0	1.4
111772050	28	57	0	1.9
111772080	28.6	53	0	2
111772110	29.4	49	0	2.2
111772140	29.9	47	0	2
111772170	30.5	44	0	2.5
111772200	30.6	42	0	3.3
111772230	31.1	40	0	2.8
111772260	30.8	40	0	3.5
111772290	30.7	40	0	3.7
111772320	30	44	0	3.9
111772350	29.9	46	0	3.4
111772380	30.2	40	0	3.9
111772410	30.1	39	0	3.6
111772440	29.7	41	0	3.5
111772470	28.8	43	0	3.6
111772500	27.5	46	0	3.8
111772530	26.4	50	0	1.8
111772560	25.4	54	0	1.5
111772590	24.5	58	0	1.8
111772620	23.8	62	0	1.8
111772650	23.3	64	0	2.1
111772680	22.9	66	0	2.7
111772710	22.5	69	0	1.8
111772740	22	70	0	1.3
111772770	21.4	74	0	1
