min1800	t2m	rh	padavine	veter_hitrost
111532320	7.5	64	0	2.1
111532350	6.6	66	0	1.9
111532380	6.6	66	0	1.3
111532410	6.3	66	0	1.9
111532440	6.1	66	0	2.4
111532470	5.7	67	0	1.2
111532500	5.5	68	0	1.6
111532530	4.9	71	0	1.1
111532560	4.4	73	0	2
111532590	3.9	74	0	1.4
111532620	3.5	75	0	0.8
111532650	3.2	77	0	0.7
111532680	3	78	0	0.9
111532710	2.3	80	0	1.1
111532740	1.7	82	0	0.7
111532770	1.3	84	0	0.7
111532800	1.5	84	0	0.5
111532830	1.8	83	0	1
111532860	1.9	82	0	0.9
111532890	2	82	0	0.5
111532920	2.6	80	0	0.4
111532950	3.5	77	0	0.6
111532980	4.6	73	0	0.8
111533010	5.8	69	0	0.7
111533040	6.9	68	0	0.7
111533070	7.8	69	0	0.8
111533100	8.5	64	0	1.1
111533130	9.1	62	0	0.7
111533160	9.2	64	0	0.8
111533190	10	65	0	0.9
111533220	10.1	65	0	0.8
111533250	10.1	65	0	1
111533280	10.3	66	0	1
111533310	9.9	67	0	0.2
111533340	9.3	69	0	0.1
111533370	8.9	72	0	0.9
111533400	8.6	74	0	0.5
111533430	8.3	76	0	0.2
111533460	7.8	76	0	0.5
111533490	7.3	76	0	0.6
111533520	6.6	79	0	0.8
111533550	6.1	81	0	1
111533580	5.5	82	0	0.9
111533610	5	82	0	0.6
111533640	4.5	84	0	1
111533670	4.4	85	0	0.6
111533700	4.6	83	0	0.7
111533730	4.8	82	0	1.1
