min1800	t2m	rh	padavine	veter_hitrost
111853440	15.3	96	0	0.5
111853470	15.3	96	0	0.3
111853500	15.3	96	0	0.9
111853530	15.3	96	0	0.6
111853560	15.3	96	0	0.3
111853590	15.4	96	0.1	0.9
111853620	15.4	96	0.8	0.9
111853650	15.3	96	0.2	0.4
111853680	15.3	96	0	0.3
111853710	15.4	96	1.3	0.6
111853740	15.4	96	0	0.9
111853770	15.4	96	0	0.9
111853800	15.4	96	0	0.7
111853830	15.4	96	0	0.7
111853860	15.5	96	0	0.3
111853890	15.6	96	0	0.5
111853920	15.8	96	0.1	1.1
111853950	16	94	0.2	0.3
111853980	16.5	93	0	0.9
111854010	17.2	89	0	0.8
111854040	17.6	86	0	0.6
111854070	18.1	84	0	0.6
111854100	18.7	82	0	0.9
111854130	18.9	80	0	0.9
111854160	19.1	80	0	0.7
111854190	19.8	78	0	1
111854220	20.6	75	0	0.9
111854250	21.1	73	0	0.9
111854280	21.5	71	0	1.3
111854310	22.2	69	0	1.4
111854340	22.6	68	0	1.5
111854370	22.8	68	0	1.1
111854400	22.6	69	0	1.3
111854430	22.4	70	0	1.4
111854460	22.4	71	0	1.4
111854490	22.1	72	0	1.4
111854520	21.6	74	0	1.1
111854550	21	76	0	1.1
111854580	20.4	79	0	1
111854610	19.8	83	0	0.4
111854640	19.3	86	0	0.6
111854670	18.7	89	0	0.2
111854700	18.4	91	0	0.7
111854730	18.1	92	0	0.5
111854760	17.7	93	0	0.2
111854790	17.5	94	0	0.3
111854820	17.3	95	0	0.7
111854850	17.2	95	0	0.3
