min1800	t2m	rh	padavine	veter_hitrost
111723840	19.2	71	0	2.3
111723870	18.9	72	0	2.5
111723900	19.3	68	0	2.7
111723930	19.4	67	0	3.7
111723960	19	70	0	3.3
111723990	18.7	72	0	2.8
111724020	18.3	74	0	2.7
111724050	18.3	75	0	2.3
111724080	18.1	74	0	2.8
111724110	17.9	74	0	2.8
111724140	17.9	72	0	2.8
111724170	17.8	72	0	1.1
111724200	18.1	73	0	0.8
111724230	19.2	67	0	1.3
111724260	19.5	63	0	2.5
111724290	20.2	62	0	2.4
111724320	21.1	57	0	2.3
111724350	21.7	53	0	2.6
111724380	21.9	50	0	2.4
111724410	22.1	49	0	2.5
111724440	22	48	0	2.8
111724470	21.9	49	0	3.3
111724500	22	49	0	3.3
111724530	21.9	50	0	3.4
111724560	21.7	52	0	2.7
111724590	21.7	53	0	2.3
111724620	21.6	54	0	1.9
111724650	22	54	0	1.6
111724680	22.1	54	0	1.1
111724710	21.7	55	0	0.5
111724740	19.3	72	2.5	2.7
111724770	18.1	81	0	2
111724800	17.6	84	0.5	1.6
111724830	17.1	88	0.6	1.9
111724860	16.9	90	0.3	1.9
111724890	16.9	91	0.3	0.5
111724920	16.8	91	0.8	0.6
111724950	16.7	91	1.2	0.7
111724980	16.5	93	0.9	1.2
111725010	16.2	94	1.4	1.5
111725040	15.1	92	2.2	3.1
111725070	14.1	92	2.7	2.5
111725100	13.8	91	1.7	3.3
111725130	13.6	91	2.5	1.6
111725160	13.5	92	4.4	3
111725190	13.3	92	2.2	2.7
111725220	13.1	92	0.6	1.5
111725250	13	93	1	2.5
