min1800	t2m	rh	padavine	veter_hitrost
111669120	12.1	58	0	4
111669150	12.1	60	0	4.7
111669180	12.1	61	0	4.6
111669210	12.1	62	0	4.1
111669240	12.3	62	0	3.5
111669270	12.2	62	0	4.5
111669300	12.2	64	0	5
111669330	12.2	64	0	4.7
111669360	12	64	0	4.1
111669390	11.9	65	0	3.1
111669420	11.9	64	0	1.2
111669450	11.9	64	0	2.9
111669480	11.5	64	0	1.1
111669510	13	60	0	1.3
111669540	13.9	57	0	1.6
111669570	12.9	62	0	1.3
111669600	14.6	58	0	1.8
111669630	16.4	52	0	0.7
111669660	18.4	46	0	3.7
111669690	19.7	42	0	4.6
111669720	20.5	40	0	5
111669750	21.2	39	0	4.9
111669780	22.1	38	0	4.9
111669810	23	36	0	4.3
111669840	23.7	35	0	3.9
111669870	24.2	34	0	3.8
111669900	24.8	33	0	3.1
111669930	25.5	32	0	3.5
111669960	25.9	32	0	2.8
111669990	26.5	30	0	2.3
111670020	26.7	30	0	2.1
111670050	27.1	28	0	2
111670080	27.9	26	0	0.8
111670110	27.7	26	0	1.7
111670140	27.8	27	0	2
111670170	27.4	27	0	2.1
111670200	27.1	28	0	1.5
111670230	25.8	30	0	1.4
111670260	24.1	36	0	1.6
111670290	22.5	41	0	1.1
111670320	20.8	47	0	0.8
111670350	19.9	50	0	0.7
111670380	18.8	55	0	0.6
111670410	17.6	60	0	0.3
111670440	16.7	64	0	0.3
111670470	15.9	68	0	0
111670500	15.3	69	0	0.3
111670530	14.7	70	0	0.9
