min1800	t2m	rh	padavine	veter_hitrost
111692160	13	89	4.7	2
111692190	12.5	91	3.6	1.9
111692220	12.3	90	1.6	3
111692250	11.7	88	2.6	2.9
111692280	11.1	88	1.3	3.3
111692310	10.7	87	1.9	3
111692340	10	87	3.2	2.7
111692370	9.3	88	4.4	2.5
111692400	8.8	89	2.3	2.9
111692430	8.2	88	1.8	2.4
111692460	7.5	86	0.5	3
111692490	6.7	84	0	2.7
111692520	6	84	0	2.5
111692550	5.4	84	0	2.3
111692580	5	84	0	2.8
111692610	5	84	0	2.3
111692640	5.2	84	0	2.4
111692670	5.8	84	0	2.5
111692700	6.3	82	0	2.2
111692730	6.8	81	0	1.9
111692760	7.3	79	0	1.7
111692790	7.7	78	0	2.2
111692820	8	77	0	2.3
111692850	8.7	74	0	2.2
111692880	8.9	72	0	2.3
111692910	9.8	70	0	2.2
111692940	10.8	66	0	2.4
111692970	11.1	64	0	2.5
111693000	10.5	69	0	2.2
111693030	9.6	72	0	2.8
111693060	10	72	0	2.5
111693090	10.3	70	0	2.5
111693120	10.5	69	0	2.6
111693150	10.6	68	0	2.1
111693180	10.6	69	0	2.1
111693210	10.5	70	0	2.1
111693240	10.6	71	0	1.8
111693270	10.5	70	0	2.6
111693300	10.3	70	0	2.1
111693330	10.2	70	0	1.9
111693360	9.9	71	0	1.5
111693390	9.6	74	0	1.4
111693420	9.2	76	0	0.9
111693450	9.2	77	0	0.7
111693480	9.5	67	0	2.1
111693510	9.7	58	0	2.9
111693540	9.9	54	0	3.3
111693570	9.8	53	0	3.4
